doc_id,hotel_name,reviewer_score,text_excerpt
0,Hotel Da Vinci,9.6,Hotel was great clean friendly staff free breakfast every morning with good selection good wifi connection nice sized room with bath fridge in room Personally loved the fact that the hotel isn t in the city centre but...
1,Urban Lodge Hotel,8.8,No tissue paper box was present at the room
2,Alexandra Barcelona A DoubleTree by Hilton,7.9,Nice welcoming and service Pillows
3,Hotel Principe Di Savoia,10.0,Everything including the nice upgrade The Hotel has been revamped and what a surprise Love every second of it including in room dining which was excellent
4,Hotel Esther a,9.6,Lovely hotel v welcoming staff
5,Holiday Inn London Bloomsbury,8.3,The location is perfect if you don t have a lot of time and you want to have a look at the city centre They don t have free wifi
6,Holiday Inn London Wembley,7.5,Location price It did not cost much more to have breakfast included Room was a reasonable size and bed was comfortable Room generally a bit shabby with some lack of maintenance Some crumbs on bedroom floor these issue...
7,Novotel London West,7.9,Comphy bed upgraded to executive room with nespresso machine etc for only 24 3 nights quiet room clean 4 free waters in the fridge tho no refill and close to Hammersmith station shops and Starbucks Olympia is in walki...
8,Hotel Saint Petersbourg Opera,9.2,Its centrality proximity to our destination Pity about the two days of rain
9,St George Hotel,2.5,Didn t like anything about the stay if i had a chance to change or cancel it I would do it right away Didn t like it at all construction was in progress stuff lied to us about vacancy
10,Barcel Milan,10.0,Free upgrade in Executive Double room complementary daily access to the Spa area Modern design Big and cozy room Open space between bathroom and bedroom is a great concept suitable for a couple Free parking option ava...
11,WestCord Art Hotel Amsterdam 4 stars,8.8,The location breakfast friendly staff nice rooms
12,Park Plaza Victoria Amsterdam,8.8,Top location near Amsterdam Central Urban room was perfect and everything was brand new Bed is like heaven Personnel is quite busy but always responsive and friendly Pool was very small and kind of chemical too much c...
13,Ayre Hotel Caspe,9.6,The staff was very kind and polite and they quickly took care of all our needs The rooms are very comfortable and the cleanings are perfect In the room they gave us first wi fi signal was very low When we pointed out ...
14,Best Western Atlantic Hotel,9.2,Handy location can see it from the Central train station We got a special deal on a suite so had a decent sized room Breakfast was okay Typical European but did start at 6am which was good as we had an early flight out
15,Luxury Suites Amsterdam,9.6,I loved everything about the place The location was good and the staff I can proudly say was very very friendly and helpful to the maximum I will come back God willing
16,The Grosvenor,4.6,Locate ideal clean facility 1 Bed was faulty seemed to dip in the middle very uncomfortable 2 VERY noisy room so got very little sleep because of 1 and 2 3 Make up mirror faulty 4 Cleaning disturbing me when I m tryin...
17,Hyatt Regency London The Churchill,9.6,Breakfast buffet
18,TheWesley,5.8,Location Very noisy room close to an extrrnal electricity cell buzzing loud all the time air conditioning with poor control cheap fixtures very small room poor value for the money spent quite a lot
19,Hotel SB Diagonal Zero Barcelona 4 Sup,9.6,All the hotel facilities were great 10 minutes walk to the beach and easy access to the city via the metro
20,Uptown Palace,8.3,The Location and the view Close to the Duomo The Staff especially in reception and a desire to help Room rate a bit expensive Breakfast included in the room rate is very basic Need to pay more attention to room cleaning
21,Room Mate Anna,9.6,Location Culture bars and restaurants Transport Cleanliness of hotel and city Nothing to dislike
22,Rafayel Hotel Spa,10.0,Staff were very helpful food was lovely and excellent value for money I wouldn t say it was a 5 star hotel but a very good 4 Star
23,Holiday Inn London Camden Lock,7.5,Good location for Camden Lock and market wouldn t want to pay the walk in price though
24,The Montcalm At Brewery London City,10.0,What a lovely hotel The welcome was fantastic and lovely treats left in room and upgrade as our anniversary The room was spacious and the bathroom huge The room was great with a wonderful bed v comfortable We popped o...
25,Best Western Plus de Neuville Arc de Triomphe,7.9,The staff were always helpful and friendly and the hotel was in a good location next to the train and metro lines with some nice cafes and a park nearby The air conditioning failed on one night however there was no is...
26,Copthorne Tara Hotel London Kensington,9.6,Pleasant hotel although it was very busy very welcoming There wasn t anything to dislike
27,The Chamberlain,9.2,Very nice Hotel with a Filler pub inside very clean comfortable room everything needed was inside even a wonderful Nespresso machine The location was very close to the Tower of London and the Thames but during the wee...
28,Millennium Gloucester Hotel London,8.8,Perfect location and nice rooms rooms need more lights
29,Hilton Amsterdam,5.4,Good breakfast Very expensive parking When we booked a 3 adult room we were squeezed to a 2 people room where the extra bed barely fit the booking details were very misleading Had to complain and argue with the staff ...
30,Hotel Barcelona Center,8.8,The hotel was in a great spot near to everything without being in the middle of it all The hotel was lovely and the staff very helpful
31,Hotel V Nesplein,9.6,The hotel is ideally placed in the centre of the city close to all the main tourist sites All the staff spoke perfect English and were incredibly helpful The hotel is quite funky and a draw for younger people but we d...
32,Hazlitt s,9.6,My room was exceptional Quality breakfasts Excellent WIFI Thoughtful and attentive staff I loved the location and would book again in a moment I felt part of history and pampered I couldn t have enjoyed my stay more T...
33,Park Plaza London Riverbank,8.8,Good location with great view over the river from bar and restaurant Useful valet parking Contemporary stylish hotel with polite helpful friendly staff Construction site next door meant it was a bit noisy in our room ...
34,Strand Palace Hotel,9.2,Friendliness and helpfulness of staff in all areas of the hotel Shower a little tired now The shower curtain didn t prevent the water from running out of the bath and all over the floor
35,Hotel Atlanta,8.8,The hotel is pretty from the outside and quaintly old fashioned inside Previous reviewers have complained about its dated ambience but we found this charming The room was big had all we needed and was despite being on...
36,Golden Tulip Amsterdam West,6.7,The room size Bad Storm could not get back to Hotel trams stopped trees on power lines
37,DoubleTree by Hilton Hotel London Tower of London,7.9,Very friendly welcome Worth while upgrading to the executive club Beer wine and nibbles from 5 8 each evening and no queue for breakfast like the main restaurant
38,Austria Trend Hotel Park Royal Palace Vienna,7.5,IT IS A GOOD HOTEL NEAR THE calso of the vienne but too far away from the centre of the vienne it is why we just book one night there when we visite the calso thanks regards danielle
39,St Martins Lane A Morgans Original,9.2,Gym was awesome Room is a little too minimalistic for my taste but overall was fine There was kind of a weird smell in my room like the carpet was recently shampooed with something strong
40,Hotel K nig von Ungarn,10.0,Beautiful hotel in great location with wonderful staff Pillows are a bit too soft but bed is awesome
41,COMO Metropolitan London,9.6,Location staff support view room size welcoming my kids in the same room All are excellent
42,Hotel Vueling Bcn by HC,10.0,Excellent location 10 min walking from catalonya plaza 2 min to metro Very helpful staff Amazing room theme
43,Hilton London Euston,4.2,Breakfast The room was tiny no bigger than a box room in a terraced house bed was pushed up against 2 walls my wife and I couldn t get changed at the same time because the room didn t have enough space to allow us to
44,Dorsett Shepherds Bush,9.6,Great lcoation Great facilities Fantastic price for London
45,Hotel Capricorno,9.2,perfect location near all means of public transport friendly staff the hotel offers tea coffee and cake in the afternoon the rooms were provided with tablets the sheets and toilette were very clean
46,Abba Sants,3.3,WiFi and air conditioning never worked properly Had to change room 3 times in 3 days First day arrived at 7pm made us wait for the room and the put us in a room that when you open the window you realized you were insi...
47,The Drayton Court Hotel,10.0,Victorian style own pub with a nice fireplace super friendly relaxed room s interior cool recommended room Kind Hearts Coronets Ealing is close to the city but a wonderfully clich brickstone suburb
48,Hotel Vondel Amsterdam,10.0,We were upgraded to the Deluxe 2 Bedroom Apartment right on the Prinsengracht canal The view was amazing It was beautifully decorated immaculately clean and in the perfect location The Hotel Vondel staff were never mo...
49,Hotel Kaiserin Elisabeth,9.2,The stuff is extremely kind and helpful They organize everything you ask them to transfer tours diners Hotel has great location close to the main city square but away from the city noice Very clean hotel The food is w...
50,Ayre Hotel Gran V a,7.5,Excellent bathroom and bed No view of sunlight from the bedroom as it looked in a well and faced other rooms which meant no privacy Also a long walk around the hallways to get to the room
51,Bentley London,8.8,Rooms are stylish and spacious and the bathrooms are superb The reception area is pleasant and staff are friendly Room service menu is somewhat limited and quite costly The excellent bar has a poor selection of beers ...
52,La Suite West Hyde Park,7.1,Beds comfy lovely shower and very clean Very dark everywhere rooms corridors Felt that 2 slices of toast and a coffee for 10 overpriced even by London standards No bar and not allowed to eat or drink outside in terrac...
53,Best Western Palm Hotel,8.8,24h access to the gym Good overall value for this area of London A new member of staff in the restaurant Even though I told her that I hadn t prepaid for breakfast but that I had pre authorised funds for payment on my...
54,Mercure London Kensington Hotel,8.8,Staff were very friendly helpful The hallways were a little shabby but the hotel is clearly going through refurbishment so I m sure this shall be addressed soon
55,Hotel Claridge Paris,9.2,Friendly and helpful staff and absolutely amazing localisation in heart of the city Hotel need some renovation
56,DoubleTree by Hilton London Hyde Park,9.2,It was so clean and bright very comfortable Little bit further out of the city centre but there s an underground station about 5 mins away and you can catch a hop on hop off bus right outside the hotel
57,Rathbone,10.0,No one thing everything was fine Our second visit and feel sure there will be a third
58,Millennium Gloucester Hotel London,7.5,The size of the room compared to other london hotels And the location and friednly staff The room was old and the pictures i saw online for the room was completly different to reality
59,Hilton London Kensington Hotel,8.3,Breakfast Parking was expensive
60,Mill sime H tel,8.8,Very friendly staff bedroom very clean and modern furnishing Lovely breakfast It was a shame that the bar area was being refurbished at the time of our stay
61,Hampshire Hotel Amsterdam American,7.5,lovely cafe friendly staff great location Gym small currently some building works outside property
62,Grand Hotel Wien,9.2,There dry cleaning service was excellent The breakfast was not as varied as I hoped
63,Catalonia Passeig de Gr cia 4 Sup,9.6,Very helpful and friendly staff especially the barman Outside terrace excellent facility Breakfast provision fine though hot drinks a bit hard work Ok for evening meal but not great Not much atmosphere
64,St James Court A Taj Hotel London,9.6,Staff Decor
65,Gran Hotel La Florida,10.0,Very nice
66,The Lodge Hotel Putney,4.2,Room was clean Wordings of minutes from Tube station was deceiving Lodge was located much further took a half hour walk each way Few buses run through the area hence was really inconvenient Pricey for that location an...
67,M by Montcalm Shoreditch London Tech City,8.3,Clean efficient well located hotel Pleasant staff Good concierge service
68,Courthouse Hotel London,6.7,Location Staff could have been better long check out lines waueted ages on tea coffee at breakfast on day 1 entrance way was dirty
69,The Ampersand Hotel,10.0,Convenient location courteous and helpful staff comfortable and clean facilities would recommend and would eturn
70,Mercure London Hyde Park,10.0,quiet clean friendly staff
71,Hilton Vienna,10.0,The breakfast buffet was really nice which includes an espresso machine Location wise was fantastic since it s right next to the Wien Mitte Landstrasse train subway station Shops were within walking distance Would def...
72,Hotel Mozart,9.6,The rooms were big bathroom was huge staff were helpful even though we booked 5 mins before arriving they informed me I had accidentally booked a twin room instead of a double for my husband and I but 2 seconds in his...
73,Hotel Marignan Champs Elys es,9.6,The view was amazing
74,INK Hotel Amsterdam MGallery by Sofitel,10.0,The staff were fabulous and so handy to all services
